用处是AccessApi的接口是什么？	api@google-maps
功能是IntegrateContent的API有哪些？	api@shopping.com
需求是UpdateTimeline的API是什么？	api@twitter
需求是ProvidePublicStatus的有哪些服务？	api@twitter-streaming
作用是RenameEcs的接口是什么？	api@amazon-product-advertising
需求是ProvideLibrary的API是什么？	api@google-earth
用处是ServeStorage的有哪些服务？	api@google-app-engine
功能是PublishApplication的API是什么？	api@facebook
作用是MaintainList的服务有哪些？	api@linkedin
用处是BuildTool的API是什么？	api@foursquare
功能是BuildVoice的API有哪些？	api@twilio-sms
作用是IntegrateAmazonMarketPlace的有哪些服务？	api@amazon-marketplace-web-service
功能是RepresentObject的API有哪些？	api@facebook-graph
用处是CreatePersonalProfile的API有哪些？	api@vk
功能是DriveSite的服务有哪些？	api@cnet
用处是ReceiveEvent的服务有哪些？	api@slack-real-time-messaging
功能是GeneratePreciseGeolocationMapping的有哪些服务？	api@tomtom-geocoding
功能是ConnectPeople的接口是什么？	api@ohloh
功能是PullRequest的接口是什么？	api@github
用处是CreateApplication的有哪些服务？	api@getglue
需求是ProvideSimpleInterface的接口是什么？	api@google-maps-elevation
用处是ProvideFunctionality的服务有哪些？	api@citygrid
功能是CloseApi的有哪些服务？	api@yipit
用处是SendNotification的API有哪些？	api@pushover
需求是BuildMap的有哪些服务？	api@microsoft-bing-maps
作用是SendTextMessage的API有哪些？	api@strikeiron-sms-mobile-marketing
用处是ClassifyText的API有哪些？	api@uclassify
作用是ReceiveUpdate的接口是什么？	api@commission-junction
需求是OfferApi的有哪些服务？	api@maplarge
作用是ProvideIntuitiveWeb的服务有哪些？	api@docusign-enterprise
用处是ProvideProgrammaticAccess的有哪些服务？	api@salesforce.com
需求是ProvideGeocode的API是什么？	api@geocoder
作用是IntegrateApplication的服务有哪些？	api@nexmo-sms
用处是PublishMethodology的接口是什么？	api@amee
功能是CreateApplication的API有哪些？	api@shopify
功能是ListAngelInvestor的有哪些服务？	api@angellist
用处是RepresentItem的服务有哪些？	api@google-app-payments
用处是ProvideDeveloper的服务有哪些？	api@pdxcouncilconnect
作用是SearchRequest的有哪些服务？	api@google-places
功能是CollectTm的API有哪些？	api@mymemory
作用是AccessDatum的API有哪些？	api@mobile-phone-megastore
